red,91,27,18
rgbCoef,3.072289,2.833333,2.297297
sampleHSV,0.0,85.0,110.0
red,84,19,16
rgbCoef,3.072289,2.833333,2.297297
sampleHSV,0.0,86.0,101.0
red,86,19,16
rgbCoef,3.072289,2.833333,2.297297
sampleHSV,0.0,86.0,104.0
red,77,18,15
rgbCoef,3.072289,2.833333,2.297297
sampleHSV,5.0,85.0,93.0
